,"Vic4, 2015-03-27",,,,,,,
,Rowan BK,Jonah Fraser,Spencer,Noel Robin,Adam Price,Connor McCleary,Jer,Markus S
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
1,Ancestral Recall,Black Lotus,Mox Sapphire,Time Vault,Mox Jet,Library of Alexandria,Mox Ruby,Mox Pearl
2,Treasure Cruise,Demonic Tutor,Tinker,Sol Ring,Dark Ritual,Force of Will,Time Walk,Mox Emerald
3,Young Pyromancer,Volcanic Island,Mana Crypt,Mana Vault,Vampiric Tutor,Brainstorm,Snapcaster Mage,Chrome Mox
4,Lightning Bolt,Show and Tell,Grim Monolith,Voltaic Key,Thoughtseize,Ponder,Strip Mine,Deathrite Shaman
5,Eidolon of the Great Revel,"Emrakul, the aeons torn",Tolarian Academy,Mind Twist,Underground Sea,Spell Pierce,Daze,Wasteland
6,Scalding Tarn,Tropical Island,Painter's Servant,Channel,Inquisition of Kozilek,Mental Misstep,Spell Snare,Bayou
7,Steam Vents,Misty Rainforest,Grindstone,Natural Order,Doomsday,Flooded Strand,Delver of Secrets,Fauna Shaman
8,Fireblast,Griselbrand,Everflowing Chalice,Basalt Monolith,Laboratory Maniac,Breeding Pool,Mana Drain,Sylvan Library
9,Price of Progress,Oath of Druids,Trinket Mage,Crop Rotation,Mystical Tutor,Timetwister,Vendilion Clique,"Urborg, Tomb of Yawgmoth"
10,Arid Mesa,Sneak Attack,Crucible of Worlds,Wurmcoil Engine,Gitaxian Probe,"Venser, Shaper Savant",Preordain,Imperial Seal
11,Wooded Foothills,Polluted Delta,Fabricate,Birds of Paradise,Pact of Negation,Serum Visions,"Jace, the Mind Sculptor",Tarmogoyf
12,Bloodstained Mire,Watery Grave,Enlightened Tutor,Dark Depths,Duress,Noble Hierarch,True-Name Nemesis,Scavenging Ooze
13,Smash to Smithereens,Eureka,Mindslaver,Thespian's Stage,Impulse,Steel Sabotage,Dack Fayden,Liliana of the Veil
14,Taiga,Forbidden Orchard,Academy Ruins,Primeval Titan,Marsh Flats,Windswept Heath,Mana Leak,Verdant Catacombs
15,Goblin Guide,Badlands,Tundra,Woodfall Primus,Remand,Yavimaya Coast,"Thada Adel, acquisitor",Reanimate
16,Destructive Revelry,Lim-Dul's Vault,Sphere of Resistance,Overgrown Tomb,Encroach,Glistener Elf,Ancestral Vision,"Iona, Shield of Emeria"
17,Tormod's Crypt,Counterspell,Thorn of Amethyst,Joraga Treespeaker,Personal Tutor,Inkmoth Nexus,Goblin Rabblemaster,Entomb
18,Monastery Swiftspear,Countersquall,Grafdigger's Cage,Progenitus,Unearth,Dismember,Negate,Grave Titan
19,Become Immense,"Elesh Norn, grand cenobite",Sphinx of the Steel Wind,Tooth and Nail,Predict,Berserk,Chill,Disenchant
20,Gorilla Shaman,Omniscience,Lodestone Golem,Green Sun's Zenith,Drowned Catacomb,Vines of Vastwood,Red Elemental Blast,Genesis
21,Pyroblast,Sleight of Hand,Azorius Signet,Golgari Signet,Lake of the Dead,Spellskite,Electrolyze,Recurring Nightmare
22,Rift Bolt,Diabolic Vision,City of Traitors,Ancient Tomb,Demonic Consultation,Viridian Corrupter,Chain Lightning,Shriekmaw
23,Shard Volley,Dream Halls,Inkwell Leviathan,Garruk Wildspeaker,Dispel,Nature's Claim,Sulfur Falls,Bitterblossom
24,Zurgo Bellstriker,Swan Song,"Ugin, the Spirit Dragon","Kozilek, Butcher of Truth",Peer Through Depths,Hurkyl's Recall,Cascade Bluffs,Survival of the Fittest
