,Talanthalos,Hyphen-ated,DedZeppelin,juchemz,Sti,DrpeepeepoopooMD,Ever,Dragon-Fodder
Date,2022-01-31,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1CnYec4dsZzKYkWbkGR2nYDazPlwIz-i_kV0qEJmp0Ac/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Sol Ring,Mana Crypt,Mox Ruby,Mox Jet,Time Vault
2,Thoughtseize,Time Walk,"Oko, Thief of Crowns",Demonic Tutor,Mox Pearl,Mox Emerald,Force of Will,Tinker
3,Vampiric Tutor,Force of Negation,Mana Drain,Dark Ritual,"Karn, the Great Creator",Strip Mine,Polluted Delta,Mana Vault
4,Inquisition of Kozilek,Hullbreacher,Misty Rainforest,Duress,Mox Diamond,"Ragavan, Nimble Pilferer",Flooded Strand,Grim monolith
5,Lotus Petal,"Narset, Parter of Veils",Snapcaster Mage,Verdant Catacombs,"Teferi, Time Raveler",Wooded Foothills,Underground Sea,Chrome Mox
6,Wheel of Fortune,Timetwister,Scalding Tarn,Mind Twist,Urza's Saga,Prismatic Vista,Tundra,Ancient Tomb
7,Reanimate,Mystical Tutor,Spell Pierce,Hymn to Tourach,Mox Opal,Wasteland,Stoneforge Mystic,Tolarian Academy
8,Dark Confidant,Fastbond,"Jace, the Mind Sculptor",Imperial Seal,Grindstone,Lightning Bolt,Daze,Mishra's Workshop
9,Skullclamp,Mystical Dispute,Mental Misstep,Dauthi Voidwalker,"Urza, Lord High Artificer",Red Elemental Blast,Marsh Flats,"Emry, Lurker of the Loch"
10,Gitaxian Probe,Windswept Heath,Ponder,Bloodstained Mire,Dack Fayden,Pyroblast,Brainstorm,Defense Grid
11,Arid Mesa,Tropical Island,Breeding Pool,Veil of Summer,Balance,Taiga,Prismatic Ending,Sensei's Divining Top
12,Collective Brutality,Noble Hierarch,Counterspell,Grief,Pithing Needle,Sylvan Library,Swords to Plowshares,Transmute Artifact
13,Fatal Push,Birds of Paradise,Force of Vigor,Dark Depths,Lodestone Golem,Questing Beast,Umezawa's Jitte,Tezzeret the Seeker
14,Monastery Swiftspear,Thassa's Oracle,Preordain,"Urborg, Tomb of Yawgmoth",Painter's Servant,Faithless Looting,Vendilion Clique,Inventors' Fair
15,Dragon's Rage Channeler,Ignoble Hierarch,True-Name Nemesis,Deathrite Shaman,Seat of the Synod,Wrenn and Six,Brazen Borrower // Petty Theft,Trinisphere
16,Young Pyromancer,Lose Focus,Mana Leak,Hexdrinker,Phyrexian Revoker,Bonecrusher Giant // Stomp,Serum Visions,Sphere of Resistance
17,Dreadhorde Arcanist,Miscalculation,Negate,Crop Rotation,Walking Ballista,"Nissa, Who Shakes the World",Karakas,Darksteel Citadel
18,Urza's Bauble,Library of Alexandria,Treasure Cruise,Opposition Agent,Tangle Wire,"Yavimaya, Cradle of Growth",Solitude,Mishra's Bauble
19,Cabal Therapy,Bayou,Remand,Once Upon a Time,"Karn, Scion of Urza",Goblin Rabblemaster,Baleful Strix,Blightsteel Colossus
20,Abrade,Watery Grave,Consider,Overgrown Tomb,Enlightened Tutor,Robber of the Rich,Skyclave Apparition,Upheaval
