,"Vic6, 2016-07-22",,,,,,,
,Liam Coughlan,Garrett Culos,Kayda,Jonah Fraser,Kyle Yakiwchuk,Ben Wheeler,Luke Evans,David Brunsdon
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mox Emerald,Mox Jet,Mox Pearl,Mana Crypt,Mox Ruby
2,Demonic Tutor,Sol Ring,Spell Pierce,Force of Will,Strip Mine,Time Vault,"Jace, The Mind Sculptor",Time Walk
3,Vampiric Tutor,Tinker,Mental Misstep,Channel,Thoughtseize,Mana Vault,Mystical Tutor,Imperial Seal
4,Duress,Library of Alexandria,Spell Snare,Daze,Dark Confidant,Tolarian Academy,Volcanic Island,Show and Tell
5,Inquisition of Kozilek,Crucible of Worlds,Flusterstorm,Fastbond,Wasteland,TimeTwister,Personal Tutor,Griselbrand
6,Grim Tutor,Snapcaster Mage,Vendilion Clique,Mana Drain,Hymn to Tourach,Ancient Tomb,Grim Monolith,Oath of Druids
7,Yawgmoth's Will,Painter's Servant,True-name Nemesis,Mind Twist,Mesmeric Fiend,City of Traitors,Scalding Tarn,Polluted Delta
8,Dark Ritual,"Jace, Vryn's Prodigy",Counterspell,Flooded Strand,Bitterblossom,Mishra's Workshop,Time Spiral,Misty Rainforest
9,Cabal Therapy,Trinket Mage,Chalice of the Void,Tropical Island,Umezawa's Jitte,Lodestone Golem,Mox Diamond,Underground Sea
10,Chrome Mox,Brainstorm,Mana Leak,Steel Sabotage,Liliana of The Veil,Mox Opal,Defense Grid,Force Spike
11,Necropotence,Ponder,Annul,Preordain,Marsh Flats,Thought-Knot Seer,Thran Dynamo,Lotus Petal
12,Dark Depths,Sensei's Divining Top,Negate,Gush,Scrubland,Trinisphere,Upheaval,"Emrakul, The Aeons Torn"
13,Vampire Hexmage,Tundra,Remand,Hallowed Fountain,Phyrexian Revoker,Voltaic Key,Dack Fayden,Ancient Grudge
14,Lion's Eye Diamond,Isochron Scepter,Pithing Needle,Monastery Mentor,"Thalia, Guardian of Thraben",Sphere of Resistance,Izzet Signet,Enlightened Tutor
15,Tendrils of Agony,Grindstone,"Thada Adel, Acquisitor",Aven Mindcensor,Tidehollow Sculler,Thorn of Amethyst,Dig Through Time,Misdirection
16,Cabal Ritual,Rest in Peace,Mutavault,Delver of Secrets,Rishadan Port,Hurkyl's Recall,Gilded Lotus,Forbidden Orchard
17,Badlands,Windswept Heath,Null Rod,Miscalculation,Leonin Arbiter,Rebuild,Worn Powerstone,Balance
18,Mana Confluence,Prohibit,Condescend,Energy Flux,Brain Maggot,Karakas,Wildfire,Sneak Attack
19,Gitaxian Probe,Orim's Chant,Divert,Stifle,Spirit of the Labyrinth,Tangle Wire,Metalworker,Abrupt Decay
20,Bloodstained Mire,Muddle the Mixture,Phantasmal Image,Savannah,Vindicate,Reality Smasher,Phyrexian Metamorph,Bayou
21,Abeyance,Prairie Stream,Mishra's Factory,Breeding Pool,Verdant Catacombs,Ethersworn Canonist,Wurmcoil Engine,Wooded Foothills
22,Rite of Flame,Silence,"Venser, Shaper Savant",Rule of Law,Swords to Plowshares,Triskelion,Karn Liberated,Impulse
23,Infernal Tutor,Path to Exile,Repeal,Arid Mesa,Stony Silence,Batterskull,Copy Artifact,Izzet Charm
24,Unmask,Merchant Scroll,Mindbreak Trap,Noble Hierarch,"Brimaz, King of Oreskos",Transmute Artifact,Hedron Archive,Manamorphose
25,Seething Song,Brain Freeze,Spellskite,Qasali Pridemage,Aether Vial,Vryn Wingmare,Pyroblast,Empty the Warrens
26,Auriok Salvagers,Helm of Obedience,Cavern of Souls,Spell Queller,Anguished Unmaking,Containment Priest,High Tide,Burning Wish
27,Pyrite Spellbomb,Bribery,Gilded Drake,Geist of Saint Traft,Dryad Militant,Stoneforge Mystic,Leyline of Sanctity,Omniscience
28,Desperate Ritual,Inkwell Leviathan,Skullclamp,Trygon Predator,"Kataki, War's Wage",Sword of Fire and Ice,"Boseiju, Who Shelters All",Blackmail
29,Vandalblast,Memory Lapse,Dismember,Council's Judgment,"Thalia, Heretic Cathar",Hangarback Walker,Wheel of Fortune,Red Elemental Blast
30,City of Brass,Pact of Negation,Sower of Temptation,"Edric, Spymaster of Trest",Thespian's Stage,Grafdigger's Cage,Burning of Xinye,Expedition Map
31,Blood Crypt,Temple Garden,Lord of Atlantis,Deprive,Flickerwisp,Eldrazi Displacer,Splinter Twin,Massacre
32,Yawgmoth's Bargain,Heartbeat of Spring,Master of the Pearl Trident,Natural State,Sword of Feast and Famine,"Urborg, Tomb of Yawgmoth",Deceiver Exarch,Peek
33,Ill-Gotten Gains,Palinchron,Cursecatcher,SImic Charm,Kitchen Finks,Caves of Koilos,Imperial Recruiter,Nature's Claim
34,Xantid Swarm,Hinterland Harbor,Merrow Reejerey,Garruk Wildspeaker,Godless Shrine,Endbringer,Tezzeret the Seeker,Gaea's Blessing
35,Gemstone Mine,Treachery,Silvergill Adept,Seachrome Coast,Fetid Heath,Eldrazi Temple,Cascade Bluffs,Swan Song
36,Plateau,Candelabra of Tawnos,"Sygg, River Cutthroat",Razorverge Thicket,Sin Collector,Eye of Ugin,Nix,Tendo Ice Bridge
37,Pyroclasm,Frantic Search,Merfolk Sovereign,"Elspeth, Knight-Errant",Lingering Souls,Endless One,Steam Vents,The Tabernacle At Pendrell Vale
38,Volcanic Fallout,Cryptic Command,Stonybrook Banneret,Detention Sphere,Grand Abolisher,Eldrazi Mimic,Coalition Relic,Maze of Ith
39,Gaddock Teeg,Turnabout,Cold-eyed Selkie,Dromoka's Command,Blade Splicer,Matter Reshaper,Anger of the Gods,Kolaghan's Command
40,City of Solitude,Snap,Coralhelm Commander,Managorger Hydra,Diabolic Edict,Oblivion Sower,Myr Battlesphere,Collective Brutality
41,Nephalia Academy,Memory Jar,Augur of Bolas,Propaganda,Reanimate,Crystal Vein,Boomerang,Living Wish
42,Night of Souls' Betrayal,Dictate of Karametra,Rootwater Thief,Reflector Mage,Animate Dead,Wasteland Strangler,"Keranos, God of Storms",Eureka
43,Reforge the Soul,Yavimaya Coast,Saprazzan Heir,Scavenging Ooze,Gerrard's Verdict,Warping Wail,"Kiki-jiki, Mirror Breaker",Overmaster
44,Dragonskull Summit,Archive Trap,Waterfront Bouncer,Spellstutter Sprite,"Athreos, God of Passage","Ulamog, the Infinite Gyre",Pestermite,Enter the Infinite
45,Shatterstorm,Blue Sun's Zenith,Tidal Warrior,Tarmogoyf,Lurking Automaton,Kor Haven,Greater Gargadon,Sylvan Library
